,사다리 결과,시간(분/초),시간(초),반대 유형 시간(분/초),반대 유형 시간(초),열린 설문,나이,성별
0,오픈월드형,9분 11초,551,0초,0,"- 오픈월드형 맵에서 한 공간에 있는 것이 아니라 포탈을 타고 여러 공간을 다닐 수 있어서 재미있음
- 보물 상자를 열어본다던가, 집 안의 난로에 다가가면 사건이 일어난다던가, 상호작용이나 미션이 있으면 더 재미있을 것 같다.
- 바람의 나라, 메이플 스토리와 같은 옛날스럽고 조잡한 움직임이 추억이 생각나고 재미가 있다. 
- 목록식의 경우에는 첫번째 것 정도는 해볼 수 있지만 커서로 들어가는 것이 먼저이다 보니까 하고 싶은 마음이 들지 않는다.
- 목록에 움직임이 없더라도 재미있도록 흥미가 있어야 클릭으로 이어질 듯하다.",,여
1,오픈월드형,19분 03초,1143,8분 59초,539,"- 처음 사용하는 사용자 입장에서는 오픈월드형이 더 좋다
- 그런데 오픈월드에서 맵간 이동에서 직접 이동해야하는 거리가 있기 때문에, 익숙해지면 목록에서 클릭하는 것이 더 편할 수 있을 것 같다.
- 메타버스 서비스를 오랫동안 이어가기 위해서는 유즈맵과 같은 유저의 자유도가 있어야할 것 같다. 사용자가 맵을 직접 생성할 수 있었으면 좋겠다.",29.0,남
2,오픈월드형,3분 32초,212,0,0,"-오픈월드의 모든 맵이 직관적으로 망라되지 않아서 어디를 가야 할 지 잘 모르겠다.
-점프를 해야지 다른 맵으로 이동하는 것인지, 가만히 서 있어야 이동하는 것인지가 헷갈린다.
-맵과 맵 사이 노래의 연결이 부자연스럽게 끊긴다",21.0,남
3,목록형,1분 40초,100,0,0,"-무엇을 해야 하는지 감이 안 온다.
-게임 내와 목록창이 연결이 되지 않은 느낌이라 이질감이 든다.",21.0,남
4,목록형,4분 14초,254,0,0,"-퀘스트가 주어지지 않은 채로 서버에 입장하도록 안내받으니까 메타버스를 만든 목적을 알기 힘들다
-목록을 눌렀을 때마다 대기 시간을 기다리는 것이 힘들다",21.0,남
5,목록형,7분 19초,439,0,0,"-오픈월드 입장 대기 시간이 길다
-목록 이미지가 한정적이라 목록에 있는 항목에 대한 설명이 부족하다
-게임으로 들어왔을 때의 설명이 빈약해서 게임자 본인이 과거에 어떤 선택을 했는지를 알기 힘들다.",24.0,남
6,오픈월드형,2분 5초,125,0,0,"-어디에 맵 표시가 있는지 바닥에 붙어있어서 알기 힘들다
-오픈월드에서 나오는 소리가 균일하지 못해 볼륨을 조절하기가 번거롭다
-오픈월드의 맵 구성이 단조롭다. 이 안에서도 어떤 미션이나 다른 조작을 했으면 좋겠다.",21.0,남
7,목록형,4분 15초,255,5분 10초,310,"-오픈월드가 훨씬 게임자들에게 도전 정신을 유발한다.
-목록형이 주어졌을 때 주어진 네 가지의 경우를 보기보다는 다른 창과 옵션들을 눌러보며 헤매게 된다.
-오픈월드로 들어왔을 때 배틀그라운드 대기창이 연상된다.",20.0,남
8,목록형,2분 49초,189,0,0,"-무엇을 해야 하는지 헤매다가 시간을 지체하고, 이미 게임에 피로해졌다.
-막상 아무거나 눌러서 서버에 진입을 하더라도 왜 선택을 해야 하는지에 대한 의문이 풀리지 않는다.
-시작 창을 눌러도 클릭하였다는 애니메이션이 직관적이지 않아서 정확하게 무엇을 클릭했는지를 알기 힘들다.",20.0,남
9,오픈월드형,8분 19초,499,2분 14초,134,"-오픈월드로 시작할 때 메이플 마을들이 3D로 바뀐 느낌이 든다.
-캐릭터가 달리거나 하는 능력이 추가되었으면 좋겠고 빠르게 다른 공간으로 넘어갈 수 있도록 하는 수단이 있었으면 좋겠다.
-채팅 기능도 추후에 개발될 수 있는지 궁금하다.",21.0,남
10,오픈월드형,9분 53초,593,1분 1초,61,"-애니메이션이 부자연스럽다.
-포탈을 타고 이동하기 직전에 대기하는 시간이 은근히 길게 느껴져서 내가 포탈에 제대로 탄 것인지를 모를 때가 있다.
-목록형은 시작부터 무엇을 눌러야 하는지 고민을 하다가 선택을 포기하게 될 수 있을 것 같다.
-맵이 좀 더 넓고 할 수 있는 기능이 많았으면 좋겠다.",21.0,남
11,오픈월드형,4분 11초,251,8분 9초,729,"-오픈월드로 진입하는 것이 호기심을 자극하기 쉬워 보인다.
-목록형에서 헤매고 뒤로가기 버튼을 많이 누르다가 앱이 나가지는 경우가 많아서 시간이 지체되었다.
-노래가 시끄러워서 노래를 끄고 진행할 때도 있었다.",21.0,남
12,목록형,35초,35,0,0,"-클릭을 하여 서버에 들어가 움직였지만, 이내 공간 이동 간의 시간 지체가 길어지고 새로 이동한 공간도 이전 공간과 비슷해 보이자 이용을 종료했다.
-공간과 공간을 이동할 때 확확 바뀌는 매력이 없어서 단조롭게 느껴진다.
-클릭 시 애니메이션이 부자연스럽거나 없는 것이 많아 아직까지는 매력이 크게 느껴지지 않는다.",21.0,남
13,오픈월드형,1분 37초,97,0,0,"-마인크래프트 느낌이 난다
-포털 이동 시 세로모드로 새로운 맵을 가져오고 가로모드로 전환되는 것이 어지럽게 느껴진다.",21.0,남
14,목록형,2분 14초,134,0,0,"-서버 이름이 새롭게 지정되더라도 각각의 서버가 어떤 맵인지, 어떤 기능을 하는지를 한 눈에 파악하기가 힘들 것 같다",21.0,남
15,오픈월드형,6분 1초,361,0,0,"컴퓨터로 해보던 메타버스를 핸드폰으로 해보니 아기자기하고 신기하다.
-처음 사용할 때 다양한 아이템이 있었으면 좋겠다.
-포털의 이미지가 좀 더 세련된 디자인으로 바뀌었으면 좋겠다.
-포털이 바닥에 있어서 한눈에 어떤 맵으로 이어지는지가 확인하기가 힘들다.",20.0,남
16,목록형,7분 11초,431,3분 9초,189,"-처음에 어디로 맵을 가야 하는지 선택해야 하는 시기 때 어디로 가야 할지 확신이 잘 서지 않는다.
-처음부터 메타버스 안으로 들어가는 것이 좀 더 흥미를 끌 수 있을 것 같다.
-포털로 다른 곳으로 넘어가는 것이 신기하다.
-캐릭터를 커스터마이징 하고 싶다.",21.0,남
17,목록형,11분 45초,705,5분 23초,323,"-처음에 스폰되었을 때 파란색 원이 오히려 주위의 환경을 못 보게 하는 것 같다.
-아이폰으로 플레이했을 때 화면보다 게임이 좀 더 커서 마음이 조금 불편하다.
-포탈 위를 스치기만 했는데 이동할 때도 있어서 다시 돌아가는 데에 애를 먹을 때도 있었다.",21.0,남
18,목록형,8분 13초,493,2분 1초,121,"-interact 게임을 실행한 뒤에 나오는 튜토리얼의 글씨체가 작고, 다음 페이지로 넘어가는 버튼이 작다.
-게임을 시작하고 어떻게 중지하는지 알 수 없다.
-채팅창에 ?도는 도움말을 입력하면 채팅 명령어 목록을 볼 수 있다는 표시를 어떻게 꺼야 하는지를 모르겠다.",21.0,남
19,오픈월드형,11분 14초,674,48초,48,"-오픈월드로 바로 넘어가는 것이 이용자들에게 매력을 바로 보여줄 수 있을 것 같다.
-오픈월드에서 맵 멀리 이동했을 때 다시 포털 근처로 빠르게 이동할 수 있게 하는 기능이 있었으면 좋겠다.
-오픈월드 곳곳에 있는 포스터 표지판 안 글씨가 지직거린다.
-맵의 컨셉이 다양하고 좀 더 색채가 강렬했으면 좋겠다.",21.0,남
20,오픈월드형,6분 14초,374,4분 13초,253,"-가만히 있었을 때 캐릭터의 그림자가 렉이 생긴다.
-캐릭터를 움직이는 컨트롤러를 길게 늘어뜨리면 생기는 불투명한 원이 거슬린다.
-화면을 드래그해서 캐릭터를 보는 방향을 달리할 수 있을 때, 바닥을 뚫고 캐릭터를 바라볼 수 있는 것은 제한해도 좋을 것 같다.",21.0,남
21,오픈월드형,9분 4초,544,0,0,"-메타버스를 들어가서 할 수 있는 게임이 경쟁 형식이었으면 좋겠다.
-캐릭터가 좀 더 빠르게 달렸으면 좋겠다.",21.0,남
22,목록형,7분 22초,442,0,0,"-수영 모션도 있어서 신기하다. 그러나 수영했을 때는 몸 움직임이 좀 더 느려져야 할 것 같다. 물 색도 추가해야 할 것 같다.
-동물의 숲 모습도 연상된다. 주변에 있는 것들로 다양한 것들을 했으면 좋겠다. 가령 주변에 있는 나무를 통해 채집을 하거나 낚시를 하는 등...
-다양한 사람이 동시에 이 서버에 들어온다면 트롤도 있을 것 같다.",21.0,남
23,오픈월드형,6분 57초,357,0,0,"-맵에서 떨어졌을 때 달의 위치가 하늘에 있지 않고 바닥에 붙어있다. 어색함으로 보일 수도 있을 것 같다.
-이용자가 자유롭게 이 안에서 어떤 것을 만들거나 놀이를 할 수 있게 하는 것도 좋을 것 같다.
-인터렉트 하는 맵의 figure 쪽으로 가는 계단이 걸을 때마다 우글거리는 렉이 생긴다.
-벽을 탈 수 있는 기능은 놀랍다. 재밌다.",21.0,남
24,오픈월드형,3분 11초,191,0,0,"-캐릭터가 은근히 매력있다. 감정표현도 귀엽다.
-갑자기 다른 맵으로 가는 건물 입구도 있고, 맵으로 이동하지 않는 건물도 있다. 구분해야 할 것 같다.",21.0,남
25,목록형,17분 11초,1031,2분 1초,121,"-산 안에 있는 동굴에서 반딧불이를 부를 수 있는 아이템을 발견했는데, 계속 들고 있을 때 아이템 아래에 파란색 선이 잡히는 것이 눈에 거슬릴 때가 있다.
-아이템을 클릭할 때마다 아이템 설명이 나오는 것이 불필요해 보인다. 다른 방식으로 아이템을 설명해주고 평소에는 설명이 안 보이는 것이 더 좋을 것 같다.
-물이 얼마나 깊은지가 가늠이 되지 않는다.
-스피드업 아이템(용수철)을 들고 있을 때 다리가 빨라지는 것보다 스피드업 아이템을 장착했을 경우 신발이 신겨진다는 등의 변화를 보였으면 좋겠다.
-아이템을 중복으로 손으로 들 수 없다는 것이 아쉽다.",21.0,남
26,오픈월드형,6분 15초,315,1분 48초,108,"-오픈월드가 이용자들이 적어도 주변 맵을 돌아다니게 한다는 점에서 시작 화면으로 적합할 것 같다.
-달릴 때 소리가 일정하지 않았으면 좋겠다. 밟는 질감의 소리가 구현되었으면 좋겠다.
-어플의 발열이 너무 심하다. 벌써 뜨거워졌다.",16.0,남
27,목록형,2분 10초,130,7분 32초,512,"- (목록형)설명이 제대로 나와 있지 않아서 들어가는데 어려움이 있었습니다.
- (오픈월드)처음에 들어왔을 때 여러가지 활동들을 할 수 있을거라고 생각해서 계속 돌아다녔습니다. 가면갈수록 새로운 건물이나 자연환경이 나와서 좋았습니다.
- (오픈월드)들어와서 맵 구경 말고는 할게 없었기 때문에 퀘스트를 하거나 튜토리얼이 있으면 더 좋을 것 같다고 생각이 들었습니다.",,
28,오픈월드형,5분 남짓,300,0,0,"- 여러가지 장소에 대해서 자유롭게 선택할 수 있어서 좋았습니다.
- 볼거리가 더 많았으면 좋겠습니다.",,
29,목록형,45초,45,5분 14초,314,"-(목록형)처음에 봤을 때 들어가고 싶다는 생각은 들지 않았습니다.
-(오픈월드)다양한 맵을 선택할 수 있는건 알겠는데 표지판이나 한눈에 들어오는 설명이 있었으면 좋겠습니다.
-(오픈월드)호기심에 돌아다녀보기도 하고, 다양한 맵에 가서 어떤 컨텐츠들이 있는지 볼 수 있었습니다.",,
30,오픈월드형,2분 남짓,120,0,0,"- 처음에 들어왔을 때 뭐를 해야할지 모르겠습니다.
- 다양한 활동들이 있었으면 좋겠습니다.",,
31,오픈월드형,1분 남짓,60,0,0,-자연환경이 다채로웠습니다.,,
32,오픈월드형,20분 남짓,1200,0,0,"- 로블록스 다른 게임과는 다르게 같이 협동해서 깨는 퀘스트, 아이템을 살수 있는 상점, 돈(재화)가 없어서 아쉬웠습니다.
- 게임의 컨셉이 어떤 컨셉인지 모르겠습니다.",,
